share_code,trade_date,weight
000069.SZ,2020-08-31,0.171
300408.SZ,2020-08-31,0.17
000425.SZ,2020-08-31,0.17
601985.SH,2020-08-31,0.169
603501.SH,2020-08-31,0.169
600183.SH,2020-08-31,0.165
300144.SZ,2020-08-31,0.164
600606.SH,2020-08-31,0.163
601800.SH,2020-08-31,0.163
600522.SH,2020-08-31,0.162
000786.SZ,2020-08-31,0.162
603799.SH,2020-08-31,0.16
600705.SH,2020-08-31,0.158
600111.SH,2020-08-31,0.157
601066.SH,2020-08-31,0.156
002179.SZ,2020-08-31,0.155
600010.SH,2020-08-31,0.154
600340.SH,2020-08-31,0.154
601919.SH,2020-08-31,0.154
002841.SZ,2020-08-31,0.153
600029.SH,2020-08-31,0.151
600061.SH,2020-08-31,0.15
601100.SH,2020-08-31,0.15
603899.SH,2020-08-31,0.15
601607.SH,2020-08-31,0.149
002463.SZ,2020-08-31,0.148
002422.SZ,2020-08-31,0.146
600760.SH,2020-08-31,0.145
600886.SH,2020-08-31,0.144
000963.SZ,2020-08-31,0.143
002120.SZ,2020-08-31,0.141
002607.SZ,2020-08-31,0.141
600011.SH,2020-08-31,0.141
600795.SH,2020-08-31,0.141
002601.SZ,2020-08-31,0.139
600118.SH,2020-08-31,0.136
601162.SH,2020-08-31,0.134
000703.SZ,2020-08-31,0.134
000625.SZ,2020-08-31,0.133
600115.SH,2020-08-31,0.132
600487.SH,2020-08-31,0.13
000728.SZ,2020-08-31,0.13
601838.SH,2020-08-31,0.129
600637.SH,2020-08-31,0.127
000656.SZ,2020-08-31,0.127
601111.SH,2020-08-31,0.126
600177.SH,2020-08-31,0.125
603658.SH,2020-08-31,0.122
601600.SH,2020-08-31,0.121
601727.SH,2020-08-31,0.119
600233.SH,2020-08-31,0.118
600489.SH,2020-08-31,0.118
600867.SH,2020-08-31,0.118
601618.SH,2020-08-31,0.118
002466.SZ,2020-08-31,0.117
600271.SH,2020-08-31,0.117
601878.SH,2020-08-31,0.116
002916.SZ,2020-08-31,0.115
600219.SH,2020-08-31,0.111
601360.SH,2020-08-31,0.111
600066.SH,2020-08-31,0.11
600221.SH,2020-08-31,0.11
600369.SH,2020-08-31,0.109
002508.SZ,2020-08-31,0.108
600498.SH,2020-08-31,0.108
601997.SH,2020-08-31,0.108
600332.SH,2020-08-31,0.107
601198.SH,2020-08-31,0.107
601816.SH,2020-08-31,0.107
002252.SZ,2020-08-31,0.106
000961.SZ,2020-08-31,0.105
003816.SZ,2020-08-31,0.104
603833.SH,2020-08-31,0.104
600068.SH,2020-08-31,0.103
600390.SH,2020-08-31,0.103
601881.SH,2020-08-31,0.102
002673.SZ,2020-08-31,0.1
601633.SH,2020-08-31,0.099
600038.SH,2020-08-31,0.098
600085.SH,2020-08-31,0.095
600362.SH,2020-08-31,0.095
601021.SH,2020-08-31,0.094
601998.SH,2020-08-31,0.093
600004.SH,2020-08-31,0.092
002739.SZ,2020-08-31,0.09
600018.SH,2020-08-31,0.09
600516.SH,2020-08-31,0.09
600655.SH,2020-08-31,0.09
601319.SH,2020-08-31,0.09
300628.SZ,2020-08-31,0.089
600297.SH,2020-08-31,0.089
601231.SH,2020-08-31,0.089
600208.SH,2020-08-31,0.088
002958.SZ,2020-08-31,0.087
601018.SH,2020-08-31,0.086
002146.SZ,2020-08-31,0.084
601117.SH,2020-08-31,0.084
600170.SH,2020-08-31,0.083
002032.SZ,2020-08-31,0.081
600848.SH,2020-08-31,0.081
600998.SH,2020-08-31,0.078
600674.SH,2020-08-31,0.077
002939.SZ,2020-08-31,0.076
600027.SH,2020-08-31,0.076
600482.SH,2020-08-31,0.075
002773.SZ,2020-08-31,0.074
002558.SZ,2020-08-31,0.073
002938.SZ,2020-08-31,0.073
601658.SH,2020-08-31,0.072
603156.SH,2020-08-31,0.071
000671.SZ,2020-08-31,0.067
600977.SH,2020-08-31,0.065
000627.SZ,2020-08-31,0.065
601992.SH,2020-08-31,0.064
600583.SH,2020-08-31,0.063
002153.SZ,2020-08-31,0.061
002468.SZ,2020-08-31,0.059
600989.SH,2020-08-31,0.059
601238.SH,2020-08-31,0.056
600372.SH,2020-08-31,0.055
601577.SH,2020-08-31,0.055
000709.SZ,2020-08-31,0.055
600398.SH,2020-08-31,0.054
601698.SH,2020-08-31,0.054
601916.SH,2020-08-31,0.053
601236.SH,2020-08-31,0.049
600188.SH,2020-08-31,0.048
000723.SZ,2020-08-31,0.047
601808.SH,2020-08-31,0.046
600928.SH,2020-08-31,0.044
601898.SH,2020-08-31,0.044
600025.SH,2020-08-31,0.043
000708.SZ,2020-08-31,0.037
601077.SH,2020-08-31,0.035
600968.SH,2020-08-31,0.03
600299.SH,2020-08-31,0.026
601212.SH,2020-08-31,0.026
601298.SH,2020-08-31,0.026
601828.SH,2020-08-31,0.025
002945.SZ,2020-08-31,0.024
603260.SH,2020-08-31,0.024
600519.SH,2020-08-03,4.9448
601318.SH,2020-08-03,4.8853
000858.SZ,2020-08-03,2.4929
600036.SH,2020-08-03,2.1298
000333.SZ,2020-08-03,2.0954
600276.SH,2020-08-03,2.0426
000651.SZ,2020-08-03,1.6275
600030.SH,2020-08-03,1.5284
002475.SZ,2020-08-03,1.4645
601888.SH,2020-08-03,1.3737
600887.SH,2020-08-03,1.3635
601166.SH,2020-08-03,1.1597
000002.SZ,2020-08-03,1.0955
300059.SZ,2020-08-03,1.0551
601398.SH,2020-08-03,1.0298
600900.SH,2020-08-03,0.9517
601012.SH,2020-08-03,0.8988
600585.SH,2020-08-03,0.8809
603288.SH,2020-08-03,0.8571
002415.SZ,2020-08-03,0.8497
000661.SZ,2020-08-03,0.8291
002714.SZ,2020-08-03,0.8263
300142.SZ,2020-08-03,0.7911
000001.SZ,2020-08-03,0.778
601328.SH,2020-08-03,0.7732
000725.SZ,2020-08-03,0.7672
600031.SH,2020-08-03,0.749
601688.SH,2020-08-03,0.7404
600000.SH,2020-08-03,0.7211
300122.SZ,2020-08-03,0.7178
600837.SH,2020-08-03,0.7042
600016.SH,2020-08-03,0.6979
603259.SH,2020-08-03,0.6905
600048.SH,2020-08-03,0.6708
300498.SZ,2020-08-03,0.6449
601668.SH,2020-08-03,0.6289
000063.SZ,2020-08-03,0.6286
600309.SH,2020-08-03,0.6261
002241.SZ,2020-08-03,0.5791
300015.SZ,2020-08-03,0.5564
002352.SZ,2020-08-03,0.5542
601288.SH,2020-08-03,0.5492
600570.SH,2020-08-03,0.5419
002142.SZ,2020-08-03,0.5219
000568.SZ,2020-08-03,0.5077
000100.SZ,2020-08-03,0.506
601211.SH,2020-08-03,0.5031
601229.SH,2020-08-03,0.4881
600196.SH,2020-08-03,0.4873
601601.SH,2020-08-03,0.4825
000338.SZ,2020-08-03,0.4804
002304.SZ,2020-08-03,0.4775
